EO #,Title,URL,Date Signed,Date Published,FR Citation,FR Doc Number
EO 14289,Addressing Certain Tariffs on Imported Articles,https://www.federalregister.gov/documents/2025/05/02/2025-07835/addressing-certain-tariffs-on-imported-articles,2025-04-29,2025-05-02,90 FR 18907,2025-07835
EO 14288,Strengthening and Unleashing America's Law Enforcement To Pursue Criminals and Protect Innocent Citizens,https://www.federalregister.gov/documents/2025/05/02/2025-07790/strengthening-and-unleashing-americas-law-enforcement-to-pursue-criminals-and-protect-innocent,2025-04-28,2025-05-02,90 FR 18765,2025-07790
EO 14287,Protecting American Communities From Criminal Aliens,https://www.federalregister.gov/documents/2025/05/02/2025-07789/protecting-american-communities-from-criminal-aliens,2025-04-28,2025-05-02,90 FR 18761,2025-07789
EO 14286,Enforcing Commonsense Rules of the Road for America's Truck Drivers,https://www.federalregister.gov/documents/2025/05/02/2025-07786/enforcing-commonsense-rules-of-the-road-for-americas-truck-drivers,2025-04-28,2025-05-02,90 FR 18759,2025-07786
EO 14285,Unleashing America's Offshore Critical Minerals and Resources,https://www.federalregister.gov/documents/2025/04/29/2025-07470/unleashing-americas-offshore-critical-minerals-and-resources,2025-04-24,2025-04-29,90 FR 17735,2025-07470
EO 14284,Strengthening Probationary Periods in the Federal Service,https://www.federalregister.gov/documents/2025/04/29/2025-07469/strengthening-probationary-periods-in-the-federal-service,2025-04-24,2025-04-29,90 FR 17729,2025-07469
EO 14283,White House Initiative To Promote Excellence and Innovation at Historically Black Colleges and Universities,https://www.federalregister.gov/documents/2025/04/28/2025-07380/white-house-initiative-to-promote-excellence-and-innovation-at-historically-black-colleges-and,2025-04-23,2025-04-28,90 FR 17543,2025-07380
EO 14282,Transparency Regarding Foreign Influence at American Universities,https://www.federalregister.gov/documents/2025/04/28/2025-07379/transparency-regarding-foreign-influence-at-american-universities,2025-04-23,2025-04-28,90 FR 17541,2025-07379
EO 14281,Restoring Equality of Opportunity and Meritocracy,https://www.federalregister.gov/documents/2025/04/28/2025-07378/restoring-equality-of-opportunity-and-meritocracy,2025-04-23,2025-04-28,90 FR 17537,2025-07378
EO 14280,Reinstating Commonsense School Discipline Policies,https://www.federalregister.gov/documents/2025/04/28/2025-07377/reinstating-commonsense-school-discipline-policies,2025-04-23,2025-04-28,90 FR 17533,2025-07377
