eo_number,document_number,authority,source_quote,quote_trimmed
12890,94-290,President,section 1(a) of Executive Order No. 12864 is amended by deleting the number ``25'' and inserting the number ``30'',0
12892,94-1532,Fair Housing Act (42 U.S.C. 3601 et seq.),"in accordance with the Fair Housing Act, as amended (42 U.S.C. 3601 et seq.)",0
12892,94-1532,Section 808(d) of the Fair Housing Act,"Section 808(d) of the Act, as amended, provides",0
12892,94-1532,Executive Order No. 12250,nothing in this order shall limit the authority of the Attorney General to provide for the coordinated enforcement of nondiscrimination requirements in Federal assistance programs under Executive Order No. 12250,0
12893,94-2261,the Constitution and the laws of the United States of America,by the authority vested in me as President by the Constitution and the laws of the United States of America,0
12895,94-2266,International Organizations Immunities Act,"I hereby designate the North Pacific Anadromous Fish Commission as a public international organization entitled to enjoy the privileges, exemptions, and immunities",0
12897,94-2905,"section 5520a of title 5, United States Code","section 5520a of title 5, United States Code",0
12897,94-2905,Public Law 103-94,Public Law 103-94,0
12898,94-3685,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
12899,94-3853,section 9A of the Railway Labor Act,"NOW, THEREFORE, by the authority vested in me by section 9A of the Act, it is hereby ordered as follows:",0
12900,94-4472,U.S. Constitution,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
12900,94-4472,Federal Advisory Committee Act (5 U.S.C. App. 2),"I have determined that the Commission shall be established in compliance with the Federal Advisory Committee Act, as amended (5 U.S.C. App. 2).",0
12901,94-5434,President,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including sections 141 and 301‑310 of the Trade Act of 1974, as amended (the “Act”) (19 U.S.C. 2171, 2411‑2420), and section 301 of title 3, United States Code",0
12902,94-5834,Presidential authority under the Constitution and Energy Policy and Conservation Act,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including the Energy Policy and Conservation Act …",0
12903,94-5915,"Atomic Energy Act of 1954, section 126a(2)","including section 126a(2) of the Atomic Energy Act of 1954, as amended (42 U.S.C. 2155(a)(2))",0
12905,94-7635,"Presidential authority under the Constitution, Federal Advisory Committee Act, and Trade Act of 1974","by the authority vested in me as President by the Constitution and the laws of the United States of America, including the Federal Advisory Committee Act, as amended (5 U.S.C. App.), and section 135(c)(1) of the Trade Act of 1974, as amended (19 U.S.C. 2155(c)(1)) (``Act'')",0
12906,94-9117,Federal Geographic Data Committee (FGDC),"The Federal Geographic Data Committee (“FGDC”), established by the Office of Management and Budget (“OMB”) Circular No. A-16 (“Coordination of Surveying, Mapping, and Related Spatial Data Activities”) and chaired by the Secretary of the Department of the Interior (“Secretary”) or the Secretary’s designee, shall coordinate the Federal Government’s development of the NSDI.",0
12906,94-9117,Office of Management and Budget Circular No. A‑16,"established by the Office of Management and Budget (“OMB”) Circular No. A-16 (“Coordination of Surveying, Mapping, and Related Spatial Data Activities”)",0
12906,94-9117,Office of Management and Budget Circular No. A‑119,"consistent with OMB Circular No. A-119 (“Federal Participation in the Development and Use of Voluntary Standards”), and other applicable law and policies.",0
12906,94-9117,Office of Management and Budget Circular No. A‑130,including OMB Circular No. A-130 (“Management of Federal Information Resources”),0
12906,94-9117,National Performance Review,"The National Performance Review has recommended that the executive branch develop, in cooperation with State, local, and tribal governments, and the private sector, a coordinated National Spatial Data Infrastructure",0
12908,94-10241,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including section 3347 of title 5, United States Code, it is hereby ordered as follows:",0
12910,94-10249,5 U.S.C. 6103(b),That day shall be considered as falling within the scope of 5 U.S.C. 6103(b),0
12914,94-11547,"International Emergency Economic Powers Act, National Emergencies Act, United Nations Participation Act, Title 3 U.S.C. §301","by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 5 of the United Nations Participation Act of 1945, as amended (22 U.S.C. 287c), and section 301 of title 3, United States Code",0
12915,94-12275,Section 2(e)(1) of Executive Order 12915,the EPA Administrator shall establish a governmental committee to furnish advice regarding implementation and further elaboration of the Agreement,0
12916,94-12284,Secretary of the Treasury,The functions vested in the President by section 543(a)(1) of the NAFTA Implementation Act are delegated to the Secretary of the Treasury.,0
12916,94-12284,Secretary of the Treasury,"The functions vested in the President by section 543(a)(2) and (3) of the NAFTA Implementation Act are delegated to the Secretary of the Treasury, who shall exercise such functions in accordance with the recommendations of the Community Adjustment and Investment Program Finance Committee established pursuant to section 7 of this order.",0
12916,94-12284,Community Adjustment and Investment Program Finance Committee,"The functions vested in the President by section 543(a)(5) and section 543(d) of the NAFTA Implementation Act are delegated to the Community Adjustment and Investment Program Finance Committee established pursuant to section 7 of this order, which shall exercise such functions in consultation with the Advisory Committee.",0
12917,94-12880,International Emergency Economic Powers Act,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.)",0
12918,94-13391,delegated,The Secretary of State is hereby authorized to take such,1
12920,94-14582,International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.),including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.),0
12920,94-14582,National Emergencies Act (50 U.S.C. 1601 et seq.),the National Emergencies Act (50 U.S.C. 1601 et seq.),0
12920,94-14582,"United Nations Participation Act (section 5, 22 U.S.C. 287c)","section 5 of the United Nations Participation Act of 1945, as amended (22 U.S.C. 287c)",0
12920,94-14582,"28 U.S.C. § 301 (title 3, United States Code)","section 301 of title 3, United States Code",0
12921,94-14728,Constitution and the laws of the United States of America,"section 1(a) of Executive Order No. 12864, as amended, is further amended by deleting the number ``30'' and inserting the number ``37'' in lieu thereof.",0
12922,94-15498,"International Emergency Economic Powers Act, National Emergencies Act, United Nations Participation Act, Title 3","By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.), the National Emergencies Act (50 U.S.C. 1601 et seq.), section 5 of the United Nations Participation Act of 1945, as amended (22 U.S.C. 287c), and section 301 of title 3, United States Code",0
12924,94-20873,delegates_authority,"The delegations of authority set forth in Executive Order No. 12002 of July 7, 1977, as amended by Executive Order No. 12755 of March 12, 1991; Executive Order No. 12214 of May 2, 1980; Executive Order No. 12735 of November 16, 1990; and Executive Order No. 12851 of June 11, 1993, shall be incorporated in this order and shall apply to the exercise of authorities under this order.",0
12924,94-20873,continues_existing_regulations,"All rules and regulations issued or continued in effect by the Secretary of Commerce ... shall, until amended or revoked by the Secretary of Commerce, remain in full force and effect as if issued or taken pursuant to this order",0
12924,94-20873,revokes_or_amends,"Executive Order No. 12923 of June 30, 1994, is revoked, and that declaration of emergency is rescinded",0
12926,94-22969,National Voter Registration Act of 1993,as required by section 7(b) of the National Voter Registration Act of 1993 (42 U.S.C. 1973gg),0
12927,94-23273,"10 U.S.C. §§ 121, 673b",including sections 121 and 673b of title 10 of the United States Code,0
12930,94-24617,International Emergency Economic Powers Act,section 203 of the International Emergency Economic Powers Act (50 U.S.C. 1702),0
12930,94-24617,National Emergencies Act,the National Emergencies Act (50 U.S.C. 1601 et seq.),0
12932,94-25940,International Emergency Economic Powers Act; National Emergencies Act,"including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.), the National Emergencies Act (""NEA"") (50 U.S.C. 1601 et seq.)",0
12933,94-26516,Presidential authority under 40 U.S.C. 486(a),"by the authority vested in me as President by the Constitution and the laws of the United States of America, including 40 U.S.C. 486(a)",0
12934,94-26834,expands_scope_of_national_emergency_declared_in_EO_12808,I hereby expand the scope of the national emergency declared in Executive Order No. 12808,0
12934,94-26834,references_definition_in_EO_12810,The term ``United States person'' is as defined in section 5 of Executive Order No. 12810.,0
12935,94-27135,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including section 402(e)(1) of title 37, United States Code, it is hereby ordered as follows:",0
12937,94-28431,Presidential authority,"By the authority vested in me as President by the Constitution and the laws of the United State of America, it is hereby ordered:",0
12938,94-28487,imposes_sanctions,sanctions also shall be imposed on a foreign person ... knowingly and materially contributed to ... chemical or biological weapons.,0
