eo_number,document_number,due_description,due_date,responsible_party,source_quote,quote_trimmed
12892,94-1532,Within 180 days of the publication of final regulations,,head of each executive agency,"Within 180 days of the publication of final regulations by the Secretary of Housing and Urban Development under section 4-401 of this order, the head of each executive agency shall publish proposed regulations",0
12892,94-1532,at least 30 days prior to public announcement,,executive agencies,All executive agencies shall formally submit all such proposed and final regulations ... to the Secretary of Housing and Urban Development at least 30 days prior to public announcement,0
12893,94-2261,"by March 15, 1994",1994-03-15,Executive departments and agencies,"Agencies shall submit initial plans to implement these principles to the Director of the Office of Management and Budget (``OMB'') by March 15, 1994.",0
12898,94-3685,Creation of the Interagency Working Group on Environmental Justice,,EPA Administrator (or designee),Within 3 months of the date of this order,0
12898,94-3685,Identify internal administrative process for agency‑wide strategy,,All Federal agencies,Within 4 months of the date of this order,0
12898,94-3685,Provide Working Group with outline of proposed strategy,,All Federal agencies,Within 6 months of the date of this order,0
12898,94-3685,Provide Working Group with proposed environmental justice strategy,,All Federal agencies,Within 10 months of the date of this order,0
12898,94-3685,Finalize and submit environmental justice strategy,,All Federal agencies,Within 12 months of the date of this order,0
12898,94-3685,Working Group submits report to the President,,Interagency Working Group,Within 14 months of the date of this order,0
12898,94-3685,Agency reports progress on strategy implementation,,All Federal agencies,Within 24 months of the date of this order,0
12899,94-3853,Parties must submit final settlement offers within 30 days of board creation.,,Parties to the dispute,"Within 30 days after creation of the board, the parties to the dispute shall submit to the board final offers for settlement of the dispute.",0
12899,94-3853,Board must submit its report within 30 days after receiving final offers.,,Emergency board,"Within 30 days after submission of final offers for settlement of the dispute, the board shall submit a report to the President setting forth its selection of the most reasonable offer.",0
12899,94-3853,Parties may not change dispute‑originating conditions for 60 days after the board’s report.,,Parties to the dispute,"from the time a request to establish a board is made until 60 days after the board makes its report, the parties shall make no changes in the conditions out of which the dispute arose, except by agreement.",0
12901,94-5434,Within 6 months of the submission of the National Trade Estimate Report for 1994 and 1995,,United States Trade Representative,Within 6 months of the submission of the National Trade Estimate Report,1
12901,94-5434,Within 21 days of the submission of the report required by paragraph (a) of section 1,,United States Trade Representative,"Within 21 days of the submission of the report required by paragraph (a) of section 1, the Trade Representative shall initiate",1
12902,94-5834,Prioritization survey for each agency,18 months after order date,Each agency,"Each agency responsible for managing Federal facilities shall conduct a prioritization survey, within 18 months of the date of this order",0
12902,94-5834,Report redesignations of exempt/industrial facilities,21 months after order date,Each agency,"Within 21 months of the date of this order, each agency shall report to FEMP and to the Office of Management and Budget (``OMB'') the redesignations that the agency is making",0
12902,94-5834,Identify high‑priority facilities and complete first 10 % of audits,1 year after order date,Each agency,"Within 1 year of the date of this order, agencies shall identify, based on preliminary recommendations from the prioritization surveys … high priority facilities to audit and shall complete the first 10 percent of the required comprehensive facility audits",0
12902,94-5834,Begin implementing audit recommendations after each audit,180 days after each audit’s completion,Each agency,"Within 180 days of the completion of the comprehensive facility audit of each facility, agencies shall begin implementing cost‑effective recommendations",0
12902,94-5834,Implement recommendations from recent audits,180 days after order date,Each agency,"Within 180 days of the date of this order, agencies shall begin to implement cost‑effective recommendations from comprehensive audits of facilities performed within the past 3 years",0
12902,94-5834,Task Force to set energy‑performance standards for new facilities,120 days after order date,Task Force,design and construct such facility … as determined by the Task Force within 120 days of the date of this order,0
12902,94-5834,Create facility commissioning program for new construction,270 days after order date,Each agency,"establish and implement, within 270 days of the date of this order, a facility commissioning program",0
12902,94-5834,Develop and implement showcase‑facility plans,180 days after order date,Each agency,"Within 180 days of the date of this order, each agency shall develop and implement plans … to determine the most effective and cost‑effective strategies to implement these demonstrations",0
12902,94-5834,DOE to provide technical‑assistance resources,180 days after order date,DOE,"Within 180 days of the date of this order,",1
12902,94-5834,Develop procurement techniques for energy‑water projects,18 months after order date,Administrator of General Services,"Within 18 months of the date of this order, the Administrator of General Services, in consultation with the Secretary of Energy, shall develop procurement techniques, methods, and contracts …",0
12902,94-5834,Complete studies on incentives and value‑engineering,270 days after order date,Secretary of Energy and Administrator of General Services,The studies shall be completed within 270 days of the date of this order,0
12902,94-5834,OFPP guidance on life‑cycle value engineering,6 months after study completion,OFPP,The OFPP will issue guidance to agencies on life cycle value engineering within 6 months of the completion of the studies,0
12902,94-5834,Periodic reporting by President's Management Council,"1 year after order date, then every 2 years",President's Management Council,"One year after the date of this order, and every 2 years thereafter, the President's Management Council shall report to the President about efforts and actions by agencies to meet the requirements of this order",0
12902,94-5834,Develop guidelines for retaining utility rebates,Reasonable time after order date,"Director of OMB, Secretary of Energy, Secretary of Defense, Administrator of General Services","Within a reasonable time after the date of this order, the Director of OMB, along with the Secretary of Energy, the Secretary of Defense, and the Administrator of General Services, … shall develop guidelines and implement procedures to allow agencies, in fiscal year 1995 and beyond, to retain utility rebates and incentives",0
12903,94-5915,extension of the nuclear‑cooperation period,1995-03-10,,"extend the duration of that period to March 10, 1995",0
12905,94-7635,Committee termination deadline (2 years from order date),,,the Committee shall terminate after 2 years from the date of this order unless otherwise extended,0
12906,94-9117,Establish an electronic National Geospatial Data Clearinghouse.,within 6 months of the date of this order,Secretary (through FGDC),"shall take steps within 6 months of the date of this order, to establish an electronic National Geospatial Data Clearinghouse",0
12906,94-9117,Document all new geospatial data using FGDC‑developed standards.,Beginning 9 months from the date of this order,Each agency,"Beginning 9 months from the date of this order, each agency shall document all new geospatial data it collects or produces",0
12906,94-9117,Adopt a schedule for documenting historic geospatial data and uploading it to the Clearinghouse.,Within 1 year of the date of this order,Agencies,"Within 1 year of the date of this order, agencies shall adopt a schedule, developed in consultation with the FGDC",0
12906,94-9117,Adopt a public‑access plan for geospatial data.,Within 1 year of the date of this order,Each agency,"Within 1 year of the date of this order, each agency shall adopt a plan, in consultation with the FGDC, establishing procedures to make geospatial data available to the public",0
12906,94-9117,Adopt internal procedures to check the Clearinghouse before spending on new data collection.,Within 1 year of the date of this order,Each agency,"Within 1 year of the date of this order, each agency shall adopt internal procedures to ensure that the agency accesses the Clearinghouse before it expends Federal funds",0
12906,94-9117,FGDC to submit a plan and schedule to OMB for a national digital geospatial data framework.,within 9 months of the date of this order,FGDC,"within 9 months of the date of this order, the FGDC shall submit a plan and schedule to OMB for completing the initial implementation of a national digital geospatial data framework",0
12906,94-9117,Secretary (under FGDC) to develop strategies for cooperative acquisition of geospatial data.,within 9 months of the date of this order,"Secretary, under the auspices of the FGDC","within 9 months of the date of this order, shall develop, to the extent permitted by law, strategies for maximizing cooperative participatory efforts",0
12910,94-10249,Date on which the closures must occur,1994-04-27,,"All executive departments, independent establishments, and other governmental agencies, including their field services, shall be closed on April 27, 1994",0
12912,94-10794,new reporting deadline for the Bipartisan Commission on Entitlement Reform,1994-12-15,,"inserting the date ``December 15, 1994'' in lieu thereof",0
12913,94-10932,"effective February 2, 1987",1987-02-02,,"Executive Order No. 12582 is revoked and shall be treated as void, effective February 2, 1987.",0
12914,94-11547,effective date,1994-05-08T23:59:00-04:00,,"This order shall take effect at 11:59 p.m., eastern daylight time on May 8, 1994.",0
12917,94-12880,Effective date and time,1994-05-21T23:59:00-04:00,,"This order shall take effect at 11:59 p.m. eastern daylight time on May 21, 1994.",0
12922,94-15498,effective date,1994-06-21T22:09:00-04:00,,"This order shall take effect at 10:09 p.m., eastern daylight time on June 21, 1994.",0
12924,94-20873,effective date,1994-08-20T24:00:00,,"This order shall be effective as of midnight between August 20, 1994, and August 21, 1994",0
12930,94-24617,effective date,1994-09-29T23:59:00,,"this order shall take effect at 11:59 p.m. on September 29, 1994",0
12930,94-24617,continuation of existing regulations,,,"Any rules, regulations, orders, licenses, or other forms of administrative action ... are hereby continued in effect unless altered, modified, or rescinded by the Secretary of Commerce pursuant to section 1 of this order",0
12932,94-25940,effective date,1994-10-16T04:01:00Z,,"This order shall take effect at 12:01 a.m. eastern daylight time on October 16, 1994.",0
12933,94-26516,Secretary of Labor must issue regulations implementing the order,180 days after 20 Oct 1994,Secretary of Labor,within 180 days of the date of this order,0
12933,94-26516,Federal Acquisition Regulatory Council must issue FAR regulations to include the clause,180 days after 20 Oct 1994,Federal Acquisition Regulatory Council,within 180 days of the date of this order,0
12934,94-26834,effective date,1994-10-25T23:59:00-04:00,,"This order shall take effect at 11:59 p.m. eastern daylight time on October 25, 1994.",0
12935,94-27135,Effective date of the amendments,1994-10-28T12:01:00-04:00,,"The amendments to Executive Order No. 11157 made in this order shall take effect at 12:01 a.m., eastern daylight time on October 28, 1994.",0
12937,94-28431,30 days from the date of this Order,,,no later than 30 days from the date of this Order,0
12941,94-30035,Agencies must develop building inventories and cost estimates within 4 years of the order’s issuance.,,All Federal departments and agencies,"within 4 years of the issuance of this order, develop an inventory of their owned and leased buildings and shall estimate the costs of mitigating unacceptable seismic risks in those buildings.",0
12941,94-30035,ICSSC must issue guidance within 1 year of the order’s signing.,,Interagency Committee on Seismic Safety in Construction (ICSSC),Guidance for the development of the inventory and cost estimates will be issued by the ICSSC no later than 1 year after the signing of this order.,0
12941,94-30035,Agencies must submit cost estimates to FEMA within 4 years of the order’s signing.,,All Federal departments and agencies,Cost estimates with supporting documentation shall be submitted to the Director of the Federal Emergency Management Agency (FEMA) no later than 4 years after the signing of this order.,0
12941,94-30035,FEMA must deliver a comprehensive seismic‑safety report to Congress within 6 years of the order’s issuance.,,Federal Emergency Management Agency (FEMA),"preparing for the Congress, in consultation with the ICSSC, no later than 6 years after the issuance of this order, a comprehensive report on how to achieve an adequate level of seismic safety …",0
12941,94-30035,FEMA must submit a report on order execution to Congress every two years (biennial).,,Federal Emergency Management Agency (FEMA),"preparing for the Congress on a biennial basis, a report on the execution of this order.",0
12941,94-30035,ICSSC must update the seismic‑safety standards at least once every 5 years.,,Interagency Committee on Seismic Safety in Construction (ICSSC),The ICSSC shall update the Standards at least every 5 years.,0
12941,94-30035,ICSSC must update the standards within 2 years after FEMA publishes its first Guidelines for Seismic Rehabilitation of Buildings.,,Interagency Committee on Seismic Safety in Construction (ICSSC),It shall also update the Standards within 2 years of the publication of the first edition of FEMA's Guidelines for Seismic Rehabilitation of Buildings and Commentary.,0
12944,94-32388,effective date for uniformed services pay and allowances,1995-01-01,,"are effective on January 1, 1995",0
12944,94-32388,effective date for all other schedules,first day of the first applicable pay period on or after 1995-01-01,,"are effective on the first day of the first applicable pay period beginning on or after January 1, 1995",0
12946,95-1925,Board termination – 30 days after the President submits the final report of the Board to Congress,,,The Board shall terminate 30 days after the date on which the President submits the final report of the Board to the Congress.,0
12947,X95-110125,effective date,1995-01-24,,"This order is effective at 12:01 a.m., eastern standard time on January 24, 1995.",0
12948,95-2687,"By March 24, 1995",1995-03-24,,"By March 24, 1995",0
12950,95-4908,Report to the President within 30 days of the board’s creation,,Emergency Board,Sec. 2. Report. The board shall report to the President with respect to the disputes within 30 days of its creation.,0
12950,95-4908,Maintain existing conditions for 120 days after the board’s creation,,Carrier and employees,"for 120 days thereafter, no change, except by agreement of the parties, shall be made by the carrier or the employees in the conditions out of which the disputes arose.",0
12951,95-5050,within 18 months of the date of this order,,National Archives and Records Administration,"shall, within 18 months of the date of this order, be declassified and transferred to the National Archives and Records Administration",0
12951,95-5050,within 5 years of the date of this order,,Director of Central Intelligence,this review shall be completed within 5 years of the date of this order,0
12953,95-5146,60 days from order date,1995-04-28,All Federal agencies,"Within 60 days from the date of this order, every Federal agency shall review its procedures for wage withholding",0
12953,95-5146,First publication no later than July 1 1995; thereafter annually,1995-07-01,Office of Personnel Management (OPM),"Beginning no later than July 1, 1995, the Director of the Office of Personnel Management (OPM) shall publish annually ... the list of agents ...",0
12953,95-5146,First publication no later than July 1 1995; thereafter annually,1995-07-01,Office of Personnel Management (OPM),"The OPM shall publish a list of these officials annually in the Federal Register, beginning no later than July 1, 1995",0
12953,95-5146,90 days from order date,1995-05-27,All Federal agencies,"Within 90 days of the date of this order, all Federal agencies shall report to the Director of the Office of Management and Budget (OMB)",0
12953,95-5146,180 days from order date,1995-08-25,Department of Defense (DOD),"Within 180 days of the date of this order, DOD shall submit to OMB a report based on this review",0
12953,95-5146,180 days from order date,1995-08-25,OPM and HHS,The recommendations are due within 180 days of the date of this order,0
12955,95-6211,"December 31, 1995",1995-12-31,,"extend the duration of that period to December 31, 1995",0
12957,95-6849,Effective date of the order,1995-03-16,,"This order is effective at 12:01 a.m., eastern standard time, on March 16, 1995.",0
12958,95-9941,effective 180 days from the date of this order,1995-10-14,President,shall become effective 180 days from the date of this order,0
