eo_number,document_number,title,president,signing_date,publication_date,citation,body_char_count,pdf_url,raw_text_url,summary,primary_topic,primary_topic_as_extracted,topic_other_reason,secondary_topics,instrument,instrument_other_reason,finish_reason
12890,94-290,Amendment to Executive Order No. 12864,William J. Clinton,1993-12-30,1994-01-05,59 FR 499,760,,https://www.federalregister.gov/documents/full_text/text/1994/01/05/94-290.txt,Amends Executive Order No. 12864 to increase the authorized membership of the United States Advisory Council on the National Information Infrastructure from 25 to 30 members.,technology_and_research,,,[],revokes_or_amends,,stop
12891,94-1531,Advisory Committee on Human Radiation Experiments,William J. Clinton,1994-01-15,1994-01-20,59 FR 2935,9349,,https://www.federalregister.gov/documents/full_text/text/1994/01/20/94-1531.txt,Executive Order 12891 establishes an advisory committee to examine human radiation experiments.,health,,,[],creates_body,,stop
12892,94-1532,Leadership and Coordination of Fair Housing in Federal Programs: Affirmatively Furthering Fair Housing,William J. Clinton,1994-01-17,1994-01-20,59 FR 2939,20764,,https://www.federalregister.gov/documents/full_text/text/1994/01/20/94-1532.txt,"Executive Order 12892 creates the President’s Fair Housing Council, chaired by the Secretary of Housing and Urban Development, and directs all federal agencies to administer their housing‑related programs in a manner that affirmatively furthers fair housing. It assigns the Secretary of HUD leadership responsibilities, requires agency heads to publish proposed regulations within 180 days of HUD’s final rules, and mandates annual reporting to the President. The order also revokes and amends portions of prior fair‑housing orders.",civil_rights,,,"[""government_administration"", ""justice_and_law_enforcement""]",creates_body,,stop
12893,94-2261,Principles for Federal Infrastructure Investments,William J. Clinton,1994-01-26,1994-01-31,59 FR 4233,8797,,https://www.federalregister.gov/documents/full_text/text/1994/01/31/94-2261.txt,"Executive Order 12893 establishes principles for federal infrastructure investment and requires each agency with infrastructure responsibilities to develop implementation plans. Agencies must submit initial plans to the Office of Management and Budget by March 15 1994, and the OMB will provide guidance. The order applies to federal spending on transportation, water resources, energy, and environmental protection, and it revokes two earlier orders.",economy_and_finance,,,"[""energy_and_environment"", ""government_administration""]",directs_report_or_study,,stop
12894,94-2267,North Pacific Marine Science Organization,William J. Clinton,1994-01-26,1994-01-31,59 FR 4237,1356,,https://www.federalregister.gov/documents/full_text/text/1994/01/31/94-2267.txt,"Executive Order 12894 designates the North Pacific Marine Science Organization as a public international organization entitled to the privileges, exemptions, and immunities of the International Organizations Immunities Act.",foreign_policy,,,[],delegates_authority,,stop
12895,94-2266,North Pacific Anadromous Fish Commission,William J. Clinton,1994-01-26,1994-01-31,59 FR 4239,1353,,https://www.federalregister.gov/documents/full_text/text/1994/01/31/94-2266.txt,"The order designates the North Pacific Anadromous Fish Commission as a public international organization and grants it the privileges, exemptions, and immunities provided by the International Organizations Immunities Act.",energy_and_environment,,,[],confers_status_or_honor,,stop
12896,94-2904,Amending the Civil Service Rules Concerning Political Activity,William J. Clinton,1994-02-03,1994-02-07,59 FR 5515,786,,https://www.federalregister.gov/documents/full_text/text/1994/02/07/94-2904.txt,Executive Order 12896 amends the civil service rules by revoking a specific provision of Civil Service Rule IV.,government_administration,,,[],revokes_or_amends,,stop
12897,94-2905,Garnishment of Federal Employees' Pay,William J. Clinton,1994-02-03,1994-02-07,59 FR 5517,1269,,https://www.federalregister.gov/documents/full_text/text/1994/02/07/94-2905.txt,"The order assigns authority to the Office of Personnel Management and the Postmaster General to issue regulations implementing the garnishment provisions of section 5520a of title 5, U.S. Code.",government_administration,,,[],delegates_authority,,stop
12898,94-3685,Federal Actions To Address Environmental Justice in Minority Populations and Low-Income Populations,William J. Clinton,1994-02-11,1994-02-16,59 FR 7629,20102,,https://www.federalregister.gov/documents/full_text/text/1994/02/16/94-3685.txt,"Executive Order 12898 establishes an interagency Working Group on Environmental Justice, directs all Federal agencies to develop and implement agency‑wide environmental‑justice strategies, and sets a series of reporting deadlines.",energy_and_environment,,,[],creates_body,,stop
12899,94-3853,Establishing an Emergency Board To Investigate a Dispute Between The Long Island Rail Road and Certain of Its Employees Represented by the United Transportation Union,William J. Clinton,1994-02-15,1994-02-17,59 FR 8113,3085,,https://www.federalregister.gov/documents/full_text/text/1994/02/17/94-3853.txt,Executive Order 12899 establishes a second emergency board to investigate a labor dispute between the Long Island Rail Road and its employees.,labor_and_workforce,,,[],creates_body,,stop
12900,94-4472,Educational Excellence for Hispanic Americans,William J. Clinton,1994-02-22,1994-02-24,59 FR 9061,10781,,https://www.federalregister.gov/documents/full_text/text/1994/02/24/94-4472.txt,Executive Order 12900 creates the President’s Advisory Commission on Educational Excellence for Hispanic Americans and the White House Initiative on Educational Excellence for Hispanic Americans within the Department of Education. It directs the Secretary of Education to develop an annual federal plan and requires each federal agency to appoint a senior official to liaise with the new bodies. The order also tasks the Office of Personnel Management to develop a recruitment program for Hispanic students and invokes the Constitution and the Federal Advisory Committee Act as authority.,education,,,"[""government_administration""]",creates_body,,stop
