eo_number,document_number,relation,target_eo_number,target_type,target_label,in_part,source,source_quote,quote_trimmed
12890,94-290,amends,12864,executive_order,Executive Order No. 12864,0,model,section 1(a) of Executive Order No. 12864 is amended by deleting the number ``25'' and inserting the number ``30'',0
12891,94-1531,references,,,other executive orders,0,model,"Notwithstanding the provisions of any other Executive order, the functions of the President under the Federal Advisory Committee Act",0
12891,94-1531,revoked_by,13062,executive_order,EO 13062,0,fr_disposition_notes,"Revoked by: EO 13062, September 29, 1997",0
12891,94-1531,supersedes,,,none,0,model,The Advisory Committee shall terminate 30 days after submitting its final report to the Human Radiation Interagency Working Group.,0
12892,94-1532,amends,11063,executive_order,EO 11063,0,fr_disposition_notes,"Amends: EO 11063, November 20, 1962",0
12892,94-1532,references,12250,executive_order,Executive Order 12250,0,model,nothing in this order shall limit the authority of the Attorney General to provide for the coordinated enforcement of nondiscrimination requirements in Federal assistance programs under Executive Order No. 12250,0
12892,94-1532,revokes,11063,executive_order,EO 11063,0,fr_disposition_notes,"Revokes: EO 11063, November 20, 1962 (in part); EO 12259, December 31, 1980",0
12892,94-1532,revokes,12259,executive_order,EO 12259,0,fr_disposition_notes,"Revokes: EO 11063, November 20, 1962 (in part); EO 12259, December 31, 1980",0
12893,94-2261,revokes,11063,executive_order,EO 11063,0,fr_disposition_notes,"Revokes: EO 11063, November 20, 1962 (in part); EO 12259, December 31, 1980",0
12893,94-2261,revokes,12259,executive_order,EO 12259,0,fr_disposition_notes,"Revokes: EO 11063, November 20, 1962 (in part); EO 12259, December 31, 1980",0
12894,94-2267,references,,,International Organizations Immunities Act,0,model,"designate the North Pacific Marine Science Organization as a public international organization entitled to enjoy the privileges, exemptions, and immunities conferred by the International Organizations Immunities Act",0
12896,94-2904,revokes,,,section 4.1 of Civil Service Rule IV (5 CFR Part 4),0,model,Section 1. Civil Service Rule IV (5 CFR Part 4) is amended by revoking section 4.1.,0
12897,94-2905,references,,,"section 5520a of title 5, United States Code",0,model,"section 5520a of title 5, United States Code",0
12897,94-2905,references,,,Public Law 103-94,0,model,Public Law 103-94,0
12898,94-3685,amended_by,12948,executive_order,EO 12948,0,fr_disposition_notes,"Amended by: EO 12948, January 30, 1995",0
