eo_number,document_number,kind,detail,created_at
12901,94-5434,dropped_unverifiable,the Trade Representative shall review United States trade expansion priorities and identify priority foreign country practices,2026-09-04T10:56:36+00:00
12902,94-5834,dropped_unverifiable,"DOE shall develop a program …, and, within 210 days of the date of this order, submit the program to the 656 Committee for review",2026-09-04T10:57:40+00:00
12907,94-9419,dropped_unverifiable,revoked_by EO 13226,2026-09-04T14:37:59+00:00
12933,94-26516,dropped_unverifiable,"The Secretary shall, in consultation with the Federal Acquisition Regulatory Council, issue regulations, within 180 days of the date of this order, to implement the requirements of this Executive order.",2026-09-04T11:00:10+00:00
12940,94-29663,dropped_unverifiable,positions ... shall be listed in Schedule C for all grades of the General Schedule.,2026-09-04T11:00:54+00:00
12958,95-9941,dropped_unverifiable,shall develop directives for the implementation of this order,2026-09-04T11:01:53+00:00
12958,95-9941,dropped_unverifiable,shall oversee agency actions to ensure compliance with this order and its implementing directives,2026-09-04T11:01:53+00:00
12958,95-9941,dropped_unverifiable,shall review and approve agency implementing regulations and agency guides for systematic declassification review,2026-09-04T11:01:53+00:00
12958,95-9941,dropped_unverifiable,shall have the authority to conduct on-site reviews of each agency's program established under this order,2026-09-04T11:01:53+00:00
12958,95-9941,dropped_unverifiable,shall report at least annually to the President on the implementation of this order,2026-09-04T11:01:53+00:00
12958,95-9941,dropped_unverifiable,shall convene and chair interagency meetings to discuss matters pertaining to the program established by this order,2026-09-04T11:01:53+00:00
12958,95-9941,dropped_unverifiable,"‘Agency’ means any ‘Executive agency,’ as defined in 5 U.S.C. 105",2026-09-04T11:01:53+00:00
12968,95-19654,dropped_unverifiable,access ... under Executive Order No. 12958,2026-09-04T11:03:02+00:00
12968,95-19654,dropped_unverifiable,pursuant ... Executive Order No. 12951,2026-09-04T11:03:02+00:00
12972,95-23581,dropped_unverifiable,Signed: 1995-09-18 by William J. Clinton,2026-09-04T11:03:32+00:00
12988,96-2755,dropped_unverifiable,Each agency shall establish a coordinated procedure for the conduct and review of document discovery undertaken in litigation directly by that agency,2026-09-04T11:06:21+00:00
13067,97-29464,dropped_unverifiable,"Nothing in this order shall create any right or benefit, substantive or procedural, enforceable by any party against the United States, its agencies or instrumentalities, its officers or employees, or any other person.",2026-09-04T11:45:41+00:00
13087,98-14689,dropped_unverifiable,references Proc. 7316,2026-09-04T11:47:28+00:00
13089,98-16161,dropped_unverifiable,references EO 13178,2026-09-04T11:47:23+00:00
13092,98-20315,dropped_unverifiable,"""Executive Order 13035 of February 11, 1997, is amended as follows:""",2026-09-04T11:47:39+00:00
13108,98-33382,dropped_unverifiable,"""Executive Order 13037, as amended, is further amended""",2026-09-04T11:49:29+00:00
13114,99-5164,dropped_unverifiable,amends EO 12852,2026-09-04T11:50:23+00:00
13116,99-8433,dropped_unverifiable,the Trade Representative shall review United States trade expansion priorities and identify priority foreign country practices,2026-09-04T11:52:03+00:00
13132,99-20729,dropped_unverifiable,references EO 13175,2026-09-04T11:53:22+00:00
13140,99-26670,dropped_unverifiable,amends EO 12473,2026-09-04T11:54:00+00:00
13140,99-26670,dropped_unverifiable,references EO 12484,2026-09-04T11:54:00+00:00
13140,99-26670,dropped_unverifiable,references EO 12550,2026-09-04T11:54:00+00:00
13140,99-26670,dropped_unverifiable,references EO 12586,2026-09-04T11:54:00+00:00
13140,99-26670,dropped_unverifiable,references EO 12708,2026-09-04T11:54:00+00:00
13140,99-26670,dropped_unverifiable,references EO 12767,2026-09-04T11:54:00+00:00
13140,99-26670,dropped_unverifiable,references EO 12888,2026-09-04T11:54:00+00:00
13140,99-26670,dropped_unverifiable,references EO 12936,2026-09-04T11:54:00+00:00
13140,99-26670,dropped_unverifiable,references EO 12960,2026-09-04T11:54:00+00:00
13140,99-26670,dropped_unverifiable,references EO 13086,2026-09-04T11:54:00+00:00
13142,99-30687,dropped_unverifiable,shall establish standards for classification and marking principles; agency security education and training programs; agency self‑inspection programs; and classification and declassification guides.,2026-09-04T11:53:11+00:00
13168,00-24978,dropped_unverifiable,revoked_by EO 13225,2026-09-04T11:55:31+00:00
13171,00-26716,dropped_unverifiable,references EO 13583,2026-09-04T11:55:49+00:00
13181,00-33004,dropped_unverifiable,"Protected health information ... shall not be used ... unless the Deputy Attorney General of the U.S. Department of Justice, or insofar as the protected health information involves members of the Armed Forces, the General Counsel of the U.S. Department of Defense, has authorized such use",2026-09-04T11:58:11+00:00
